Baseline 100%T,,ExampleA,,ExampleB,,ExampleC,,ExampleD,,ExampleE,,ExampleF,,ExampleG,,ExampleH,,ExampleI,,ExampleJ,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
740.0108643,0.1000965834,740.0108643,-0.002068171278,740.0108643,-0.0006108931848,740.0108643,-0.00175256317,740.0108643,-0.0008912706398,740.0108643,0.001248175395,740.0108643,-0.0001602045959,740.0108643,0.0006724164705,740.0108643,0.0008378045168,740.0108643,0.008890629746,740.0108643,-0.001485795132,
739.0164795,0.09973286837,739.0164795,-0.002608651528,739.0164795,-0.0007045102539,739.0164795,-0.001883205259,739.0164795,-0.0007846193039,739.0164795,0.001331620384,739.0164795,-9.214426973E-005,739.0164795,0.0007769889198,739.0164795,0.0006493687979,739.0164795,0.008840828203,739.0164795,-0.001559621538,
737.986145,0.09922984987,737.986145,-0.002295084065,737.986145,-0.0005457473453,737.986145,-0.001740342472,737.986145,-0.001018814743,737.986145,0.001226421096,737.986145,-0.000122216341,737.986145,0.0007724248571,737.986145,0.0005869207089,737.986145,0.008727904409,737.986145,-0.001609090017,
736.9910889,0.09845822304,736.9910889,-0.002164565725,736.9910889,-0.0006562309572,736.9910889,-0.001628999598,736.9910889,-0.0007915958413,736.9910889,0.001430689939,736.9910889,0.0001494913013,736.9910889,0.001117821434,736.9910889,0.0007364586345,736.9910889,0.009068005718,736.9910889,-0.00144389784,
735.9956055,0.09770475328,735.9956055,-0.001934595522,735.9956055,-4.928408816E-005,735.9956055,-0.001546415151,735.9956055,-0.0006697745412,735.9956055,0.001772296033,735.9956055,0.0005428054137,735.9956055,0.001073937747,735.9956055,0.001164928195,735.9956055,0.009503059089,735.9956055,-0.001154479687,
734.9998169,0.09722531587,734.9998169,-0.001889287843,734.9998169,-0.0004849874531,734.9998169,-0.00164349284,734.9998169,-0.0005406283308,734.9998169,0.001717326813,734.9998169,0.0002229094971,734.9998169,0.001164746471,734.9998169,0.001135651371,734.9998169,0.009561430663,734.9998169,-0.00146004837,
734.0036011,0.09661445767,734.0036011,-0.001998760272,734.0036011,-0.0005705142394,734.0036011,-0.001860575168,734.0036011,-0.000702856225,734.0036011,0.001567372819,734.0036011,0.0002959774574,734.0036011,0.001073470572,734.0036011,0.0007462343201,734.0036011,0.009411918931,734.0036011,-0.001293818932,
733.007019,0.09598324448,733.007019,-0.001910937135,733.007019,-0.0003555793664,733.007019,-0.001703523565,733.007019,-0.0005781146465,733.007019,0.00160909805,733.007019,0.0004858147295,733.007019,0.001296698232,733.007019,0.0009344526334,733.007019,0.00958508905,733.007019,-0.001345537021,
732.0101929,0.09518915415,732.0101929,-0.001801030128,732.0101929,-0.0005846809363,732.0101929,-0.001691198326,732.0101929,-0.0005626551574,732.0101929,0.001852592221,732.0101929,0.0005091128987,732.0101929,0.001223513624,732.0101929,0.001239920035,732.0101929,0.009801588953,732.0101929,-0.001470058342,
731.0129395,0.09463615716,731.0129395,-0.002178526018,731.0129395,-0.0004847288947,731.0129395,-0.001974899322,731.0129395,-0.0007247198373,731.0129395,0.001867462532,731.0129395,0.0004549252044,731.0129395,0.00112205185,731.0129395,0.0009360091062,731.0129395,0.009785146452,731.0129395,-0.001407931093,
730.0154419,0.09384635836,730.0154419,-0.001871606801,730.0154419,-0.0002828932484,730.0154419,-0.001347343437,730.0154419,-0.0004051851865,730.0154419,0.001971231075,730.0154419,0.0005850543967,730.0154419,0.001419080887,730.0154419,0.001186601585,730.0154419,0.01013664994,730.0154419,-0.001202497166,
729.0175171,0.09328919649,729.0175171,-0.00194959389,729.0175171,-0.0002623009495,729.0175171,-0.001653446932,729.0175171,-0.0007292681257,729.0175171,0.001762835076,729.0175171,0.0002922732383,729.0175171,0.001102198265,729.0175171,0.001214687712,729.0175171,0.009866541252,729.0175171,-0.001449109521,
727.9836426,0.09280047566,727.9836426,-0.001981083769,727.9836426,-0.0002974831732,727.9836426,-0.001709505566,727.9836426,-0.0005612591631,727.9836426,0.00169929117,727.9836426,0.0004439122858,727.9836426,0.00128753332,727.9836426,0.001242022845,727.9836426,0.01032124273,727.9836426,-0.001372271101,
726.9850464,0.092185691,726.9850464,-0.001681606052,726.9850464,-0.0003088133235,726.9850464,-0.00128700526,726.9850464,-0.0001800772297,726.9850464,0.002113078488,726.9850464,0.0008904836141,726.9850464,0.001786279841,726.9850464,0.001621855423,726.9850464,0.01079247519,726.9850464,-0.0008924072608,
725.986084,0.09188745171,725.986084,-0.00184876984,725.986084,-8.841746603E-005,725.986084,-0.001300632372,725.986084,-0.0003342145355,725.986084,0.002005479299,725.986084,0.000757306756,725.986084,0.00188563508,725.986084,0.001440663007,725.986084,0.01068668347,725.986084,-0.001132327947,
724.9868164,0.09165648371,724.9868164,-0.001864802209,724.9868164,-0.0001149184973,724.9868164,-0.001291031484,724.9868164,-0.0001195767109,724.9868164,0.002264495939,724.9868164,0.001014749636,724.9868164,0.00155627972,724.9868164,0.001566099818,724.9868164,0.01082907151,724.9868164,-0.001300735632,
723.9871826,0.09158085287,723.9871826,-0.001732607605,723.9871826,-0.000101047066,723.9871826,-0.001315188129,723.9871826,-0.0001493881136,723.9871826,0.00211042515,723.9871826,0.0008268596721,723.9871826,0.001810895628,723.9871826,0.001638380811,723.9871826,0.01097373664,723.9871826,-0.001018814743,
722.9871826,0.09102840722,722.9871826,-0.001714610844,722.9871826,0.0001983835973,722.9871826,-0.00110656023,722.9871826,4.745157275E-005,722.9871826,0.002685438376,722.9871826,0.001251706039,722.9871826,0.002178035909,722.9871826,0.001987613738,722.9871826,0.01138763689,722.9871826,-0.000727200706,
721.9868774,0.09144745767,721.9868774,-0.001812372589,721.9868774,1.516944212E-005,721.9868774,-0.001106147189,721.9868774,6.821488205E-005,721.9868774,0.002582540736,721.9868774,0.0009204183589,721.9868774,0.002110061003,721.9868774,0.001722394605,721.9868774,0.01142627653,721.9868774,-0.001047428232,
720.9862671,0.09119213372,720.9862671,-0.001752150711,720.9862671,0.0003675550397,720.9862671,-0.001135994215,720.9862671,-0.0003892540117,720.9862671,0.002616160084,720.9862671,0.001049726969,720.9862671,0.002177125309,720.9862671,0.001596237067,720.9862671,0.01151422597,720.9862671,-0.0009138996247,
